,nombre,marca,precio,color,talla,disponible,categoria
69,vestido largo gris de tirantes con estampado de serpiente de mango,Mango,99.99,gris,XS,True,largo
70,vestido largo gris de tirantes con estampado de serpiente de mango,Mango,99.99,gris,S,True,largo
71,vestido largo gris de tirantes con estampado de serpiente de mango,Mango,99.99,gris,M,True,largo
72,vestido largo gris de tirantes con estampado de serpiente de mango,Mango,99.99,gris,L,True,largo
73,vestido largo morado plisado con cuello alto y estampado floral de mango,Mango,199.99,morado,XS,True,largo
74,vestido largo morado plisado con cuello alto y estampado floral de mango,Mango,199.99,morado,S,True,largo
75,vestido largo morado plisado con cuello alto y estampado floral de mango,Mango,199.99,morado,M,True,largo
76,vestido largo morado plisado con cuello alto y estampado floral de mango,Mango,199.99,morado,L,True,largo
77,vestido largo morado plisado con cuello alto y estampado floral de mango,Mango,199.99,morado,XL,True,largo
78,vestido marrón de tirantes con estampado de leopardo de mango,Mango,45.99,marrón,XS,True,
79,vestido marrón de tirantes con estampado de leopardo de mango,Mango,45.99,marrón,S,True,
80,vestido marrón de tirantes con estampado de leopardo de mango,Mango,45.99,marrón,M,True,
81,vestido marrón de tirantes con estampado de leopardo de mango,Mango,45.99,marrón,L,True,
82,vestido marrón de tirantes con estampado de leopardo de mango,Mango,45.99,marrón,XL,True,
83,vestido midi negro con escote bardot de mango,Mango,49.99,negro,XS,True,midi
84,vestido midi negro con escote bardot de mango,Mango,49.99,negro,S,True,midi
85,vestido midi negro con escote bardot de mango,Mango,49.99,negro,M,True,midi
86,vestido midi negro con escote bardot de mango,Mango,49.99,negro,L,True,midi
87,vestido midi negro con escote bardot de mango,Mango,49.99,negro,XL,True,midi
88,vestido largo blanco con patrón variado de croché de mango,Mango,99.99,blanco,S,True,largo
89,vestido largo blanco con patrón variado de croché de mango,Mango,99.99,blanco,M,True,largo
90,vestido largo blanco con patrón variado de croché de mango,Mango,99.99,blanco,L,True,largo
91,vestido corto negro abotonado sin mangas de mango,Mango,79.99,negro,XS,True,corto
92,vestido corto negro abotonado sin mangas de mango,Mango,79.99,negro,S,True,corto
93,vestido corto negro abotonado sin mangas de mango,Mango,79.99,negro,M,True,corto
94,vestido corto negro abotonado sin mangas de mango,Mango,79.99,negro,L,True,corto
95,vestido corto negro abotonado sin mangas de mango,Mango,79.99,negro,XL,True,corto
96,vestido corto marrón con estampado de leopardo y lazada delantera de mango,Mango,89.99,marrón,XS,True,corto
97,vestido corto marrón con estampado de leopardo y lazada delantera de mango,Mango,89.99,marrón,S,True,corto
98,vestido corto marrón con estampado de leopardo y lazada delantera de mango,Mango,89.99,marrón,M,True,corto
99,vestido corto marrón con estampado de leopardo y lazada delantera de mango,Mango,89.99,marrón,L,True,corto
100,vestido corto marrón con estampado de leopardo y lazada delantera de mango,Mango,89.99,marrón,XL,True,corto
101,vestido vaquero azul medio sin mangas de mango,Mango,99.99,azul,S,True,
102,vestido vaquero azul medio sin mangas de mango,Mango,99.99,azul,M,True,
