,nombre,marca,precio,color,talla,stock,categoria
107,rhinestone fringe cami mini dress,2,34.99,blanco,XS,46.0,3
108,rhinestone fringe cami mini dress,2,34.99,blanco,S,104.0,3
109,rhinestone fringe cami mini dress,2,34.99,blanco,M,87.0,3
110,rhinestone fringe cami mini dress,2,34.99,blanco,L,68.0,3
111,rhinestone fringe cami mini dress,2,34.99,blanco,XL,47.0,3
112,buckled asymmetrical mini dress,2,34.99,negro,XS,36.0,3
113,buckled asymmetrical mini dress,2,34.99,negro,S,83.0,3
114,buckled asymmetrical mini dress,2,34.99,negro,M,72.0,3
115,buckled asymmetrical mini dress,2,34.99,negro,L,48.0,3
116,buckled asymmetrical mini dress,2,34.99,negro,XL,36.0,3
117,ruched halter bodycon mini dress,2,34.99,negro,XS,29.0,3
118,ruched halter bodycon mini dress,2,34.99,negro,S,69.0,3
119,ruched halter bodycon mini dress,2,34.99,negro,M,59.0,3
120,ruched halter bodycon mini dress,2,34.99,negro,L,40.0,3
121,ruched halter bodycon mini dress,2,34.99,negro,XL,30.0,3
122,ruched halter bodycon mini dress,2,34.99,rojo,XS,20.0,3
123,ruched halter bodycon mini dress,2,34.99,rojo,S,49.0,3
124,ruched halter bodycon mini dress,2,34.99,rojo,M,42.0,3
125,ruched halter bodycon mini dress,2,34.99,rojo,L,28.0,3
126,ruched halter bodycon mini dress,2,34.99,rojo,XL,21.0,3
127,lace off-the-shoulder mini dress,2,34.99,negro,XS,39.0,3
128,lace off-the-shoulder mini dress,2,34.99,negro,S,91.0,3
129,lace off-the-shoulder mini dress,2,34.99,negro,M,78.0,3
130,lace off-the-shoulder mini dress,2,34.99,negro,L,52.0,3
131,lace off-the-shoulder mini dress,2,34.99,negro,XL,39.0,3
132,bow sweater mini dress,2,39.99,rojo,XS,59.0,3
133,bow sweater mini dress,2,39.99,rojo,S,139.0,3
134,bow sweater mini dress,2,39.99,rojo,M,120.0,3
135,bow sweater mini dress,2,39.99,rojo,L,80.0,3
136,bow sweater mini dress,2,39.99,rojo,XL,60.0,3
137,velvet corset cowl maxi dress,2,39.99,negro,XS,51.0,2
138,velvet corset cowl maxi dress,2,39.99,negro,S,126.0,2
139,velvet corset cowl maxi dress,2,39.99,negro,M,106.0,2
140,velvet corset cowl maxi dress,2,39.99,negro,L,71.0,2
141,velvet corset cowl maxi dress,2,39.99,negro,XL,54.0,2
142,strapless satin lace-up mini dress,2,34.99,negro,XS,48.0,3
143,strapless satin lace-up mini dress,2,34.99,negro,S,112.0,3
144,strapless satin lace-up mini dress,2,34.99,negro,M,96.0,3
145,strapless satin lace-up mini dress,2,34.99,negro,L,64.0,3
146,strapless satin lace-up mini dress,2,34.99,negro,XL,48.0,3
147,strapless satin lace-up mini dress,2,34.99,verde,XS,30.0,3
148,strapless satin lace-up mini dress,2,34.99,verde,S,70.0,3
149,strapless satin lace-up mini dress,2,34.99,verde,M,60.0,3
150,strapless satin lace-up mini dress,2,34.99,verde,L,40.0,3
151,strapless satin lace-up mini dress,2,34.99,verde,XL,30.0,3
152,strapless satin lace-up mini dress,2,34.99,rojo,XS,39.0,3
153,strapless satin lace-up mini dress,2,34.99,rojo,S,91.0,3
154,strapless satin lace-up mini dress,2,34.99,rojo,M,78.0,3
155,strapless satin lace-up mini dress,2,34.99,rojo,L,52.0,3
156,strapless satin lace-up mini dress,2,34.99,rojo,XL,39.0,3
157,halter bubble-hem mini dress,2,44.99,negro,XS,50.0,3
158,halter bubble-hem mini dress,2,44.99,negro,S,151.0,3
159,halter bubble-hem mini dress,2,44.99,negro,M,124.0,3
160,halter bubble-hem mini dress,2,44.99,negro,L,67.0,3
161,halter bubble-hem mini dress,2,44.99,negro,XL,39.0,3
162,halter bubble-hem mini dress,2,44.99,granate,XS,68.0,3
163,halter bubble-hem mini dress,2,44.99,granate,S,162.0,3
164,halter bubble-hem mini dress,2,44.99,granate,M,128.0,3
165,halter bubble-hem mini dress,2,44.99,granate,L,89.0,3
166,halter bubble-hem mini dress,2,44.99,granate,XL,63.0,3
