,nombre,marca,precio,color,talla,categoria
99,ruched bodycon midi dress,Forever21,44.99,granate,M,midi
100,ruched bodycon midi dress,Forever21,44.99,granate,L,midi
101,ruched bodycon midi dress,Forever21,44.99,granate,XL,midi
102,rhinestone fringe cami mini dress,Forever21,34.99,negro,XS,mini
103,rhinestone fringe cami mini dress,Forever21,34.99,negro,S,mini
104,rhinestone fringe cami mini dress,Forever21,34.99,negro,M,mini
105,rhinestone fringe cami mini dress,Forever21,34.99,negro,L,mini
106,rhinestone fringe cami mini dress,Forever21,34.99,negro,XL,mini
107,rhinestone fringe cami mini dress,Forever21,34.99,blanco,XS,mini
108,rhinestone fringe cami mini dress,Forever21,34.99,blanco,S,mini
109,rhinestone fringe cami mini dress,Forever21,34.99,blanco,M,mini
110,rhinestone fringe cami mini dress,Forever21,34.99,blanco,L,mini
111,rhinestone fringe cami mini dress,Forever21,34.99,blanco,XL,mini
112,buckled asymmetrical mini dress,Forever21,34.99,negro,XS,mini
113,buckled asymmetrical mini dress,Forever21,34.99,negro,S,mini
114,buckled asymmetrical mini dress,Forever21,34.99,negro,M,mini
115,buckled asymmetrical mini dress,Forever21,34.99,negro,L,mini
116,buckled asymmetrical mini dress,Forever21,34.99,negro,XL,mini
117,ruched halter bodycon mini dress,Forever21,34.99,negro,XS,mini
118,ruched halter bodycon mini dress,Forever21,34.99,negro,S,mini
119,ruched halter bodycon mini dress,Forever21,34.99,negro,M,mini
120,ruched halter bodycon mini dress,Forever21,34.99,negro,L,mini
121,ruched halter bodycon mini dress,Forever21,34.99,negro,XL,mini
122,ruched halter bodycon mini dress,Forever21,34.99,rojo,XS,mini
123,ruched halter bodycon mini dress,Forever21,34.99,rojo,S,mini
124,ruched halter bodycon mini dress,Forever21,34.99,rojo,M,mini
125,ruched halter bodycon mini dress,Forever21,34.99,rojo,L,mini
126,ruched halter bodycon mini dress,Forever21,34.99,rojo,XL,mini
127,lace off-the-shoulder mini dress,Forever21,34.99,negro,XS,mini
128,lace off-the-shoulder mini dress,Forever21,34.99,negro,S,mini
129,lace off-the-shoulder mini dress,Forever21,34.99,negro,M,mini
130,lace off-the-shoulder mini dress,Forever21,34.99,negro,L,mini
131,lace off-the-shoulder mini dress,Forever21,34.99,negro,XL,mini
132,bow sweater mini dress,Forever21,39.99,rojo,XS,mini
133,bow sweater mini dress,Forever21,39.99,rojo,S,mini
134,bow sweater mini dress,Forever21,39.99,rojo,M,mini
135,bow sweater mini dress,Forever21,39.99,rojo,L,mini
136,bow sweater mini dress,Forever21,39.99,rojo,XL,mini
137,velvet corset cowl maxi dress,Forever21,39.99,negro,XS,maxi
138,velvet corset cowl maxi dress,Forever21,39.99,negro,S,maxi
139,velvet corset cowl maxi dress,Forever21,39.99,negro,M,maxi
140,velvet corset cowl maxi dress,Forever21,39.99,negro,L,maxi
141,velvet corset cowl maxi dress,Forever21,39.99,negro,XL,maxi
142,strapless satin lace-up mini dress,Forever21,34.99,negro,XS,mini
143,strapless satin lace-up mini dress,Forever21,34.99,negro,S,mini
144,strapless satin lace-up mini dress,Forever21,34.99,negro,M,mini
145,strapless satin lace-up mini dress,Forever21,34.99,negro,L,mini
146,strapless satin lace-up mini dress,Forever21,34.99,negro,XL,mini
147,strapless satin lace-up mini dress,Forever21,34.99,verde,XS,mini
148,strapless satin lace-up mini dress,Forever21,34.99,verde,S,mini
149,strapless satin lace-up mini dress,Forever21,34.99,verde,M,mini
150,strapless satin lace-up mini dress,Forever21,34.99,verde,L,mini
151,strapless satin lace-up mini dress,Forever21,34.99,verde,XL,mini
152,strapless satin lace-up mini dress,Forever21,34.99,rojo,XS,mini
153,strapless satin lace-up mini dress,Forever21,34.99,rojo,S,mini
154,strapless satin lace-up mini dress,Forever21,34.99,rojo,M,mini
155,strapless satin lace-up mini dress,Forever21,34.99,rojo,L,mini
156,strapless satin lace-up mini dress,Forever21,34.99,rojo,XL,mini
157,halter bubble-hem mini dress,Forever21,44.99,negro,XS,mini
158,halter bubble-hem mini dress,Forever21,44.99,negro,S,mini
159,halter bubble-hem mini dress,Forever21,44.99,negro,M,mini
160,halter bubble-hem mini dress,Forever21,44.99,negro,L,mini
161,halter bubble-hem mini dress,Forever21,44.99,negro,XL,mini
162,halter bubble-hem mini dress,Forever21,44.99,granate,XS,mini
163,halter bubble-hem mini dress,Forever21,44.99,granate,S,mini
164,halter bubble-hem mini dress,Forever21,44.99,granate,M,mini
165,halter bubble-hem mini dress,Forever21,44.99,granate,L,mini
166,halter bubble-hem mini dress,Forever21,44.99,granate,XL,mini
167,plus size velour mini dress,Forever21,20.0,negro,XXL,mini
168,plus size velour mini dress,Forever21,20.0,negro,3XL,mini
169,plus size velour mini dress,Forever21,20.0,negro,4XL,mini
170,plus size velour mini dress,Forever21,20.0,negro,5XL,mini
171,plus size velour mini dress,Forever21,20.0,negro,6XL,mini
172,plus size lace bell-sleeve mini dress,Forever21,44.99,granate,XXL,mini
173,plus size lace bell-sleeve mini dress,Forever21,44.99,granate,3XL,mini
174,plus size lace bell-sleeve mini dress,Forever21,44.99,granate,4XL,mini
175,plus size lace bell-sleeve mini dress,Forever21,44.99,granate,5XL,mini
176,plus size lace bell-sleeve mini dress,Forever21,44.99,granate,6XL,mini
177,sequin fitted thumbhole jumpsuit,Forever21,29.99,negro,XS,
178,sequin fitted thumbhole jumpsuit,Forever21,29.99,negro,S,
179,sequin fitted thumbhole jumpsuit,Forever21,29.99,negro,M,
180,sequin fitted thumbhole jumpsuit,Forever21,29.99,negro,L,
181,sequin fitted thumbhole jumpsuit,Forever21,29.99,negro,XL,
182,contour sculpt rhinestone midi tube dress,Forever21,34.99,negro,XS,midi
183,contour sculpt rhinestone midi tube dress,Forever21,34.99,negro,S,midi
184,contour sculpt rhinestone midi tube dress,Forever21,34.99,negro,M,midi
185,contour sculpt rhinestone midi tube dress,Forever21,34.99,negro,L,midi
186,contour sculpt rhinestone midi tube dress,Forever21,34.99,negro,XL,midi
187,faux gem cutout midi sweater dress,Forever21,49.99,negro,XS,midi
188,faux gem cutout midi sweater dress,Forever21,49.99,negro,S,midi
189,faux gem cutout midi sweater dress,Forever21,49.99,negro,M,midi
190,faux gem cutout midi sweater dress,Forever21,49.99,negro,L,midi
191,faux gem cutout midi sweater dress,Forever21,49.99,negro,XL,midi
192,velvet illusion mini dress,Forever21,34.99,negro,XS,mini
193,velvet illusion mini dress,Forever21,34.99,negro,S,mini
