,nombre,marca,precio,color,talla,categoria
73,vestido largo morado plisado con cuello alto y estampado floral de mango,Mango,199.99,purple,XS,largo
74,vestido largo morado plisado con cuello alto y estampado floral de mango,Mango,199.99,purple,S,largo
75,vestido largo morado plisado con cuello alto y estampado floral de mango,Mango,199.99,purple,M,largo
76,vestido largo morado plisado con cuello alto y estampado floral de mango,Mango,199.99,purple,L,largo
77,vestido largo morado plisado con cuello alto y estampado floral de mango,Mango,199.99,purple,XL,largo
78,vestido marrón de tirantes con estampado de leopardo de mango,Mango,45.99,brown,XS,
79,vestido marrón de tirantes con estampado de leopardo de mango,Mango,45.99,brown,S,
80,vestido marrón de tirantes con estampado de leopardo de mango,Mango,45.99,brown,M,
81,vestido marrón de tirantes con estampado de leopardo de mango,Mango,45.99,brown,L,
82,vestido marrón de tirantes con estampado de leopardo de mango,Mango,45.99,brown,XL,
83,vestido midi negro con escote bardot de mango,Mango,49.99,black,XS,midi
84,vestido midi negro con escote bardot de mango,Mango,49.99,black,S,midi
85,vestido midi negro con escote bardot de mango,Mango,49.99,black,M,midi
86,vestido midi negro con escote bardot de mango,Mango,49.99,black,L,midi
87,vestido midi negro con escote bardot de mango,Mango,49.99,black,XL,midi
88,vestido largo blanco con patrón variado de croché de mango,Mango,99.99,white,S,largo
89,vestido largo blanco con patrón variado de croché de mango,Mango,99.99,white,M,largo
90,vestido largo blanco con patrón variado de croché de mango,Mango,99.99,white,L,largo
91,vestido corto negro abotonado sin mangas de mango,Mango,79.99,black,XS,corto
92,vestido corto negro abotonado sin mangas de mango,Mango,79.99,black,S,corto
93,vestido corto negro abotonado sin mangas de mango,Mango,79.99,black,M,corto
94,vestido corto negro abotonado sin mangas de mango,Mango,79.99,black,L,corto
95,vestido corto negro abotonado sin mangas de mango,Mango,79.99,black,XL,corto
96,vestido corto marrón con estampado de leopardo y lazada delantera de mango,Mango,89.99,brown,XS,corto
97,vestido corto marrón con estampado de leopardo y lazada delantera de mango,Mango,89.99,brown,S,corto
98,vestido corto marrón con estampado de leopardo y lazada delantera de mango,Mango,89.99,brown,M,corto
99,vestido corto marrón con estampado de leopardo y lazada delantera de mango,Mango,89.99,brown,L,corto
100,vestido corto marrón con estampado de leopardo y lazada delantera de mango,Mango,89.99,brown,XL,corto
101,vestido vaquero azul medio sin mangas de mango,Mango,99.99,blue,S,
102,vestido vaquero azul medio sin mangas de mango,Mango,99.99,blue,M,
103,vestido vaquero azul medio sin mangas de mango,Mango,99.99,blue,L,
104,vestido midi negro sin mangas con lateral ceñido de mango,Mango,99.99,black,XS,midi
105,vestido midi negro sin mangas con lateral ceñido de mango,Mango,99.99,black,S,midi
106,vestido midi negro sin mangas con lateral ceñido de mango,Mango,99.99,black,M,midi
107,vestido midi negro sin mangas con lateral ceñido de mango,Mango,99.99,black,L,midi
108,vestido midi negro sin mangas con lateral ceñido de mango,Mango,99.99,black,XL,midi
109,vestido midi negro con botones delanteros de mango,Mango,79.99,black,XS,midi
110,vestido midi negro con botones delanteros de mango,Mango,79.99,black,S,midi
111,vestido midi negro con botones delanteros de mango,Mango,79.99,black,M,midi
112,vestido midi negro con botones delanteros de mango,Mango,79.99,black,L,midi
113,vestido midi negro con botones delanteros de mango,Mango,79.99,black,XL,midi
114,vestido vaquero corto azul con estampado de estrellas de mango,Mango,99.99,blue,S,corto
115,vestido vaquero corto azul con estampado de estrellas de mango,Mango,99.99,blue,M,corto
116,vestido vaquero corto azul con estampado de estrellas de mango,Mango,99.99,blue,L,corto
117,vestido de sastre midi gris con raya diplomática y escote palabra de honor de mango,Mango,79.99,grey,XS,midi
118,vestido de sastre midi gris con raya diplomática y escote palabra de honor de mango,Mango,79.99,grey,S,midi
119,vestido de sastre midi gris con raya diplomática y escote palabra de honor de mango,Mango,79.99,grey,M,midi
120,vestido de sastre midi gris con raya diplomática y escote palabra de honor de mango,Mango,79.99,grey,L,midi
121,vestido corto marrón de tirantes con volantes de mango,Mango,179.99,beige,XS,corto
122,vestido corto marrón de tirantes con volantes de mango,Mango,179.99,beige,S,corto
123,vestido corto marrón de tirantes con volantes de mango,Mango,179.99,beige,M,corto
124,vestido corto marrón de tirantes con volantes de mango,Mango,179.99,beige,L,corto
125,vestido midi asimétrico con estampado de leopardo de mango,Mango,99.99,brown,XS,midi
126,vestido midi asimétrico con estampado de leopardo de mango,Mango,99.99,brown,S,midi
127,vestido midi asimétrico con estampado de leopardo de mango,Mango,99.99,brown,M,midi
128,vestido midi asimétrico con estampado de leopardo de mango,Mango,99.99,brown,L,midi
129,vestido midi asimétrico con estampado de leopardo de mango,Mango,99.99,brown,XL,midi
130,"vestido corto azul marino con cremallera, raya diplomática y lateral fruncido de mango",Mango,69.99,navy,XS,corto
131,"vestido corto azul marino con cremallera, raya diplomática y lateral fruncido de mango",Mango,69.99,navy,S,corto
132,"vestido corto azul marino con cremallera, raya diplomática y lateral fruncido de mango",Mango,69.99,navy,M,corto
133,"vestido corto azul marino con cremallera, raya diplomática y lateral fruncido de mango",Mango,69.99,navy,L,corto
134,"vestido corto azul marino con cremallera, raya diplomática y lateral fruncido de mango",Mango,69.99,navy,XL,corto
135,vestido largo azul marino de manga larga con cuello alzado de mango,Mango,59.99,navy,XS,largo
136,vestido largo azul marino de manga larga con cuello alzado de mango,Mango,59.99,navy,S,largo
137,vestido largo azul marino de manga larga con cuello alzado de mango,Mango,59.99,navy,M,largo
138,vestido largo azul marino de manga larga con cuello alzado de mango,Mango,59.99,navy,L,largo
139,vestido largo azul marino de manga larga con cuello alzado de mango,Mango,59.99,navy,XL,largo
140,vestido midi marrón de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,brown,XS,midi
141,vestido midi marrón de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,brown,S,midi
142,vestido midi marrón de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,brown,M,midi
143,vestido midi marrón de manga larga con estampado de leopardo y cuello de pico de mango,Mango,49.99,brown,L,midi
